date,CNVIX
2017-11-16,11.3816
2017-11-17,11.7372
2017-11-20,13.4686
2017-11-21,13.2413
2017-11-22,13.8110
2017-11-23,15.7872
2017-11-24,16.1897
2017-11-27,17.0574
2017-11-28,17.1489
2017-11-29,17.6356
2017-11-30,18.4949
2017-12-01,19.5285
2017-12-04,17.3953
2017-12-05,16.4871
2017-12-06,16.8974
2017-12-07,15.9640
2017-12-08,15.5227
2017-12-11,15.5365
2017-12-12,15.6651
2017-12-13,15.1671
2017-12-14,15.3013
2017-12-15,14.9542
2017-12-18,15.6341
2017-12-19,15.0487
2017-12-20,15.0652
2017-12-21,15.2677
2017-12-22,15.5326
2017-12-25,15.1483
2017-12-26,15.7781
2017-12-27,17.5168
2017-12-28,15.4627
2017-12-29,14.0217
2018-01-02,14.2124
2018-01-03,13.8347
2018-01-04,13.5907
2018-01-05,13.1885
2018-01-08,14.0658
2018-01-09,13.0354
2018-01-10,12.9801
2018-01-11,13.3403
2018-01-12,13.3352
2018-01-15,14.4190
2018-01-16,14.8482
2018-01-17,15.7570
2018-01-18,18.4897
2018-01-19,18.5410
2018-01-22,18.3933
2018-01-23,18.8565
2018-01-24,20.4760
2018-01-25,17.9688
2018-01-26,16.5076
2018-01-29,17.9146
2018-01-30,14.2805
2018-01-31,16.5298
2018-02-01,16.1685
2018-02-02,16.4491
2018-02-05,19.6141
2018-02-06,23.6128
2018-02-07,27.2808
2018-02-08,28.6885
2018-02-09,40.7705
2018-02-12,32.6265
2018-02-13,31.5345
2018-02-14,30.0892
2018-02-22,26.2403
2018-02-23,23.6260
2018-02-26,23.8017
2018-02-27,25.1728
2018-02-28,25.6440
2018-03-01,23.3424
2018-03-02,23.3216
2018-03-05,21.9202
2018-03-06,20.3541
2018-03-07,21.4484
2018-03-08,20.5575
2018-03-09,19.9186
2018-03-12,20.6919
2018-03-13,21.1505
2018-03-14,20.4596
2018-03-15,19.8531
2018-03-16,20.1828
2018-03-19,20.2163
2018-03-20,20.1859
2018-03-21,20.5952
2018-03-22,20.4477
2018-03-23,24.8408
2018-03-26,24.2817
2018-03-27,23.2529
2018-03-28,24.4699
2018-03-29,24.7602
2018-03-30,24.6854
2018-04-02,24.4509
2018-04-03,24.3777
2018-04-04,24.1285
2018-04-09,23.1359
2018-04-10,21.5969
2018-04-11,22.3651
2018-04-12,23.2269
2018-04-13,23.5965
2018-04-16,24.8952
2018-04-17,25.1075
2018-04-18,24.7784
2018-04-19,23.1847
2018-04-20,22.3195
2018-04-23,22.4479
2018-04-24,22.6472
2018-04-25,22.3473
2018-04-26,22.5469
2018-04-27,23.3529
2018-05-02,25.0391
2018-05-03,25.2015
2018-05-04,25.5785
2018-05-07,25.1609
2018-05-08,25.8027
2018-05-09,24.9342
2018-05-10,23.1312
2018-05-11,22.6267
2018-05-14,20.8303
2018-05-15,20.1263
2018-05-16,20.7800
2018-05-17,18.9964
2018-05-18,18.4761
2018-05-21,18.1282
2018-05-22,17.8589
2018-05-23,18.0506
2018-05-24,17.8237
2018-05-25,17.7061
2018-05-28,17.6130
2018-05-29,18.2552
2018-05-30,21.3412
2018-05-31,19.8399
2018-06-01,20.2709
2018-06-04,18.8389
2018-06-05,18.9425
2018-06-06,18.2155
2018-06-07,17.5587
2018-06-08,19.1820
2018-06-11,19.8153
2018-06-12,18.3647
2018-06-13,18.9439
2018-06-14,19.5854
2018-06-15,20.1858
2018-06-19,23.8115
2018-06-20,21.1423
2018-06-21,19.9221
2018-06-22,19.5626
2018-06-25,20.6017
2018-06-26,21.0104
2018-06-27,22.7343
2018-06-28,23.2998
2018-06-29,21.5669
2018-07-02,25.2745
2018-07-03,26.0434
2018-07-04,26.6526
2018-07-05,26.9764
2018-07-06,25.9208
2018-07-09,23.3167
2018-07-10,22.5660
2018-07-11,25.2977
2018-07-12,23.2375
2018-07-13,23.0544
2018-07-16,23.1871
2018-07-17,22.9126
2018-07-18,22.0351
2018-07-19,21.1352
2018-07-20,20.8890
2018-07-23,22.1615
2018-07-24,23.4321
2018-07-25,23.6767
2018-07-26,22.8341
2018-07-27,21.7854
2018-07-30,22.1670
2018-07-31,22.0767
2018-08-01,23.8532
2018-08-02,24.8291
2018-08-03,24.9036
2018-08-06,25.6962
2018-08-07,25.1924
2018-08-08,25.4191
2018-08-09,25.3092
2018-08-10,24.5317
2018-08-13,25.2931
2018-08-14,25.1630
2018-08-15,25.9243
2018-08-16,26.0793
2018-08-17,25.9247
2018-08-20,26.4117
2018-08-21,24.7329
2018-08-22,23.5198
2018-08-23,22.9406
2018-08-24,22.5667
2018-08-27,22.1758
2018-08-28,22.1981
2018-08-29,22.5442
2018-08-30,22.7213
2018-08-31,22.4952
2018-09-03,23.0618
2018-09-04,22.2615
2018-09-05,23.4842
2018-09-06,23.7417
2018-09-07,23.5884
2018-09-10,24.4657
2018-09-11,23.9794
2018-09-12,23.8987
2018-09-13,23.0954
2018-09-14,21.6141
2018-09-17,20.9681
2018-09-18,20.3661
2018-09-19,18.8041
2018-09-20,17.9740
2018-09-21,18.8483
2018-09-25,20.4696
2018-09-26,21.2314
2018-09-27,20.5975
2018-09-28,20.9255
2018-10-08,23.0780
2018-10-09,23.1290
2018-10-10,23.0990
2018-10-11,25.5405
2018-10-12,25.8476
2018-10-15,26.8823
2018-10-16,26.4522
2018-10-17,26.5440
2018-10-18,28.1320
2018-10-19,26.3454
2018-10-22,26.3368
2018-10-23,27.7666
2018-10-24,28.1054
2018-10-25,29.1973
2018-10-26,30.1668
2018-10-29,31.6804
2018-10-30,31.7739
2018-10-31,31.0157
2018-11-01,29.9411
2018-11-02,28.3633
2018-11-05,30.1484
2018-11-06,30.8853
2018-11-07,30.9059
2018-11-08,30.3838
2018-11-09,30.6918
2018-11-12,31.3695
2018-11-13,30.5793
2018-11-14,30.0459
2018-11-15,29.3547
2018-11-16,28.6624
2018-11-19,28.0738
2018-11-20,27.2602
2018-11-21,27.1488
2018-11-22,26.3652
2018-11-23,25.6308
2018-11-26,25.8688
2018-11-27,24.8493
2018-11-28,23.9585
2018-11-29,23.8992
2018-11-30,24.8033
2018-12-03,22.3754
2018-12-04,20.6628
2018-12-05,20.7134
2018-12-06,20.2274
2018-12-07,18.8211
2018-12-10,19.8323
2018-12-11,19.5076
2018-12-12,19.1250
2018-12-13,19.1237
2018-12-14,18.2907
2018-12-17,19.2041
2018-12-18,20.1033
2018-12-19,19.9267
2018-12-20,22.1055
2018-12-21,23.5763
2018-12-24,22.7048
2018-12-25,23.8778
2018-12-26,22.6943
2018-12-27,22.3518
2018-12-28,22.0716
2019-01-02,22.1726
2019-01-03,21.8026
2019-01-04,21.0226
2019-01-07,21.5141
2019-01-08,20.6005
2019-01-09,18.6587
2019-01-10,18.4308
2019-01-11,17.6907
2019-01-14,18.2828
2019-01-15,17.5420
2019-01-16,16.5308
2019-01-17,17.1303
2019-01-18,17.1841
2019-01-21,18.6879
2019-01-22,16.3610
2019-01-23,16.3590
2019-01-24,14.6295
2019-01-25,14.7695
2019-01-28,16.4711
2019-01-29,17.7751
2019-01-30,18.3892
2019-01-31,18.1856
2019-02-01,18.6006
2019-02-11,19.0601
2019-02-12,18.6943
2019-02-13,19.8966
2019-02-14,21.0408
2019-02-15,20.5399
2019-02-18,21.3545
2019-02-19,22.4357
2019-02-20,22.8169
2019-02-21,22.5377
2019-02-22,21.9508
2019-02-25,26.1888
2019-02-26,30.5507
2019-02-27,30.5872
2019-02-28,28.4578
2019-03-01,27.1043
2019-03-04,29.3142
2019-03-05,30.1350
2019-03-06,31.0977
2019-03-07,32.4095
2019-03-08,32.8313
2019-03-11,30.0673
2019-03-12,30.0301
2019-03-13,29.9230
2019-03-14,28.7148
2019-03-15,26.8946
2019-03-18,27.7779
2019-03-19,28.4052
2019-03-20,28.6018
2019-03-21,29.2834
2019-03-22,28.7921
2019-03-25,27.0352
2019-03-26,25.4483
2019-03-27,24.5427
2019-03-28,23.3530
2019-03-29,24.4516
2019-04-01,26.3202
2019-04-02,28.0435
2019-04-03,27.3445
2019-04-04,28.9172
2019-04-08,30.9409
2019-04-09,29.0799
2019-04-10,29.2081
2019-04-11,29.3570
2019-04-12,26.8178
2019-04-15,26.9347
2019-04-16,26.2882
2019-04-17,27.3182
2019-04-18,27.1877
2019-04-19,26.7570
2019-04-22,28.2516
2019-04-23,26.3291
2019-04-24,25.8231
2019-04-25,25.7471
2019-04-26,25.1358
2019-04-29,24.4588
2019-04-30,24.6276
2019-05-06,28.7620
2019-05-07,25.7514
2019-05-08,26.6949
2019-05-09,28.5228
2019-05-10,28.2693
2019-05-13,27.1358
2019-05-14,26.2516
2019-05-15,24.4853
2019-05-16,23.2174
2019-05-17,23.1543
2019-05-20,23.3062
2019-05-21,21.9725
2019-05-22,21.3196
2019-05-23,21.9284
2019-05-24,22.5210
